0.0000, 6
0.0816, 4
0.1633, 5
0.2449, 8
0.3265, 26
0.4082, 28
0.4898, 95
0.5714, 209
0.6531, 346
0.7347, 585
0.8163, 846
0.8980, 1043
0.9796, 1094
1.0612, 973
1.1429, 873
1.2245, 650
1.3061, 570
1.3878, 461
1.4694, 446
1.5510, 402
1.6327, 470
1.7143, 509
1.7959, 533
1.8776, 557
1.9592, 568
2.0408, 524
2.1224, 515
2.2041, 463
2.2857, 493
2.3673, 430
2.4490, 404
2.5306, 351
2.6122, 291
2.6939, 280
2.7755, 193
2.8571, 178
2.9388, 141
3.0204, 100
3.1020, 72
3.1837, 69
3.2653, 55
3.3469, 40
3.4286, 25
3.5102, 16
3.5918, 18
3.6735, 11
3.7551, 7
3.8367, 2
3.9184, 4
